middle,trophyUploadStation,ui_map_icon_trophy_s03,,MP/SCORPION_TROPHY_BANK,,@hash_a8673f69d0431388,,,,0
middle,exfil,ui_map_icon_extraction,,DMZ/EXFIL,,@hash_0,,,,0
middle,activityStarter,ui_map_icon_ph_bg,,DMZ/CONTRACTS,,@hash_0,,,,0
middle,weaponCase,hud_icon_minimap_misc_squad_loot_box,,DMZ/WEAPON_CASE,,@hash_0,,,,0
middle,weaponCaseArea,ui_map_icon_dmz_weapon_search_yellow,,DMZ/WEAPON_CASE_AREA,,@hash_0,,,,0
middle,radiationArea,ui_map_icon_dmz_radiation_orange,,DMZ/RADIATION_AREA,,@hash_0,,,,0
middle,supplyBox,ui_map_icon_supply_drop_yellow,,DMZ/SUPPLY_DROP,,@hash_0,,,,0
middle,fortress,ui_map_icon_fortress,,MP_BR_INGAME/FORTRESS,,@hash_0,,,,0
middle,fortressLocation,ui_map_icon_loc_fortress,,DMZ/FORTRESS_LOC,,@hash_0,,,,0
middle,fortressLocationHighTier,ui_map_icon_loc_fortress_high_tier,,DMZ/FORTRESS_LOC_HIGH_TIER,,@hash_0,,,,0
middle,armoryKiosk,ui_map_icon_poi_shop,,MP_BR_INGAME/ARMORY_KIOSK,,@hash_0,,,,0
middle,gasStation,ui_map_icon_gas_land,,DMZ/GAS_STATION,,@hash_0,,,,0
middle,uavTower,ui_map_icon_uav_tower,,DMZ/UAV_TOWER,,@hash_0,,,,0
middle,samsite,ui_map_icon_sam_site,,DMZ/SAM_SITE_TITLE,,@hash_0,,,,0
middle,safe,ui_map_icon_safe,,DMZ/SAFE_TITLE,,@hash_0,,,,0
middle,ammocache,ui_map_icon_ammo_cache,,MP_BR_INGAME/AMMO_CACHE,,@hash_0,,,,0
middle,dogTags,hud_icon_minimap_misc_dog_tag,,DMZ/DOG_TAG,,@hash_0,,,,0
middle,train,hud_icon_minimap_vehicle_train_engine,,DMZ/TRAIN,,@hash_0,AreTrainsEnabled,,,0
