1,assassination,LUA_MENU_MP/MISSION_ASSASSIN_1_TITLE,MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,,MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,ui_map_icon_obj_assassin,assassin,1,p,,brloot_assassination_tablet,,ui_mp_br_mapmenu_legend_tablet_assassin,MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,,assassination,,,0,,3,1,4
2,master_assassination,LUA_MENU_MP/MISSION_MASTER_ASSASSIN_1_TITLE,MP_BR_INGAME/MISSION_MASTER_ASSASSIN_TARGET_1,,MP_BR_INGAME/MISSION_MASTER_ASSASSIN_TARGET_1,ui_map_icon_obj_big_bounty,master_assassin,1,p,,brloot_master_assassination_tablet,,ui_map_icon_obj_big_bounty,MP_BR_INGAME/MASTER_ASSASSIN_CONTRACT,ui_map_icon_obj_big_bounty,,,master_assassination,,,0,2,,4,7
3,assassination_all,LUA_MENU_MP/MISSION_ASSASSIN_1_TITLE,MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,,MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,ui_map_icon_obj_assassin,assassin_all,0,p,,,,ui_mp_br_mapmenu_legend_tablet_assassin,MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,,assassination,,,0,,,,
4,assassination_all_timed,LUA_MENU_MP/MISSION_ASSASSIN_2_TITLE,MP_BR_INGAME/MISSION_ASSASSIN_TARGET_2,,MP_BR_INGAME/MISSION_ASSASSIN_TARGET_2,ui_map_icon_obj_assassin,assassin_all,1,p,,,,ui_mp_br_mapmenu_legend_tablet_assassin,MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,,assassination,,,0,,,,
5,domination,LUA_MENU_MP/MISSION_DOM_1_TITLE,MP_BR_INGAME/MISSION_DOM_1_DESC,,,ui_map_icon_obj_recon,domination,1,,,brloot_domination_tablet,MP_BR_INGAME/MISSION_DOM_1_EXTRA_REWARD,ui_mp_br_mapmenu_legend_tablet_dom,MP_BR_INGAME/DOMINATION_CONTRACT,ui_mp_br_contracts_splash_icon_dom,,,dom,,,0,,,,
6,intel_explore,MP_BR_INGAME/INTEL_CONTRACT,MP_DMZ_MISSIONS/DMZ_DOM_EXPLORE_DESC,,,ui_map_icon_obj_intel,default,1,,,brloot_intel_tablet,,ui_mp_br_mapmenu_legend_tablet_dom,MP_BR_INGAME/INTEL_CONTRACT,ui_mp_br_contracts_splash_icon_dom,,,intel,,,0,,,,
7,intel_upload,MP_BR_INGAME/INTEL_CONTRACT,MP_DMZ_MISSIONS/DMZ_DOM_DESC,,,ui_map_icon_obj_intel,default,1,,,brloot_intel_tablet,,ui_mp_br_mapmenu_legend_tablet_dom,MP_BR_INGAME/INTEL_CONTRACT,ui_mp_br_contracts_splash_icon_dom,,,intel,MP_BR_INGAME/INTEL_CONTRACT_DESC_IN_PROGRESS,,0,,3,,3
8,timedrun,LUA_MENU_MP/MISSION_TIMEDRUN_1_TITLE,MP_BR_INGAME/MISSION_TIMEDRUN_1_DESC,,,ui_map_icon_obj_recover,timed_run,1,,,brloot_timedrun_tablet,,ui_mp_br_mapmenu_legend_tablet_timedrun,MP_BR_INGAME/TIMEDRUN_CONTRACT,ui_mp_br_contracts_splash_icon_timerun,,,timedrun,,,0,,,,
9,safecracker,LUA_MENU_MP/MISSION_SAFECRACKER_TITLE,MP_BR_INGAME/SAFECRACKER_CONTRACT_DESC,,,ui_map_icon_obj_safecracker,safecracker_3,1,,,ui_map_icon_ph_safe_cracker,,ui_map_icon_ph_safe_cracker,MP_BR_INGAME/SAFECRACKER_CONTRACT,ui_mp_br_contracts_splash_icon_safebreaker,,,safecracker,,,0,2,,4,
10,scavenger,LUA_MENU_MP/MISSION_SCAVENGERHUNT_1_TITLE,MP_BR_INGAME/MISSION_SCAVENGER_DESC,3,MP_BR_INGAME/MISSION_SCAVENGER_PROGRESS,ui_map_icon_obj_scavenger,scavenger_3,1,i,1,brloot_scavenger_tablet,,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,MP_BR_INGAME/SCAVENGER_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,,,scavenger,,,0,,3,,
