poi,,TACMAP_LEGEND/POINTS_OF_INTEREST,
poi,hud_icon_minimap_player_yellow,TACMAP_LEGEND/YOU,
poi,hud_icon_minimap_player_friendly_blue,TACMAP_LEGEND/ALLIES,
poi,hud_icon_minimap_search_area,TACMAP_LEGEND/SEARCH_AREA,
poi,hud_icon_minimap_misc_objective,TACMAP_LEGEND/OBJECTIVE,
poi,ui_map_icon_uav_tower,TACMAP_LEGEND/RECON_TOWER,
items,,TACMAP_LEGEND/ITEMS,
items,hud_icon_minimap_misc_squad_loot_box,TACMAP_LEGEND/WEAPON_CASE,
items,ui_map_icon_dmz_weapon_search_yellow,TACMAP_LEGEND/WEAPON_CASE_AREA,
items,ui_map_icon_supply_drop_yellow,TACMAP_LEGEND/SUPPLY_BOX,
items,hud_icon_minimap_killstreak_cuav_dark,TACMAP_LEGEND/KILLSTREAK,
items,hud_icon_minimap_fieldupgrade_drone_dark,TACMAP_LEGEND/FIELD_UPGRADE,
items,hud_icon_minimap_vehicle_techo_dark,TACMAP_LEGEND/VEHICLE,
