plunder_tiny,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,10,6,5,4,
plunder_small,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,20,13,7.5,9,
plunder_medium,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,40,25,10,18,
plunder_medium_1x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_1X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,40,25,20,18,
plunder_medium_2x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_2X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,80,50,40,35,
plunder_medium_3x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_3X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,120,75,60,53,
plunder_medium_4x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_4X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,160,100,80,70,
plunder_large,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,60,38,15,26,
plunder_huge,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,#hash_b360cb0b8aa852e6,80,50,20,35,
xp_small,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,#hash_46bb9d4f58dcdc39,300,300,300,300,
xp_medium,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,#hash_46bb9d4f58dcdc39,500,500,500,500,
xp_medium_1x,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP_1X,,,#hash_46bb9d4f58dcdc39,500,500,500,500,
xp_medium_2x,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP_2X,,,#hash_46bb9d4f58dcdc39,600,600,600,600,
xp_medium_3x,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP_3X,,,#hash_46bb9d4f58dcdc39,700,700,700,700,
xp_medium_4x,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP_4X,,,#hash_46bb9d4f58dcdc39,800,800,800,800,
xp_large,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,#hash_46bb9d4f58dcdc39,1000,1000,1000,1000,
weapon_xp_small,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP,,,#hash_9e6b07fe9f7e385,200,200,200,200,
weapon_xp_medium,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP,,,#hash_9e6b07fe9f7e385,300,300,300,300,
weapon_xp_medium_1x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP_1X,,,#hash_9e6b07fe9f7e385,300,300,300,300,
weapon_xp_medium_2x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP_2X,,,#hash_9e6b07fe9f7e385,600,600,600,600,
weapon_xp_medium_3x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP_3X,,,#hash_9e6b07fe9f7e385,900,900,900,900,
weapon_xp_medium_4x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP_4X,,,#hash_9e6b07fe9f7e385,1200,1200,1200,1200,
weapon_xp_large,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP,,,#hash_9e6b07fe9f7e385,400,400,400,400,
drop_bag,drop_bag,ui_mp_br_mission_reward_dropbox,MP_BR_INGAME/DROP_BAG,,,#hash_59d71dd6ea786155,1,1,1,1,
circle_peek,circle_peek,ui_mp_br_mission_reward_circle,MP_BR_INGAME/CIRCLE_PEEK,MP_BR_INGAME/LOOTCARD_SUBTITLE_TEAM_REWARD,,#hash_59d71dd6ea786155,1,1,1,1,
loot_gasmask,loot_items,ui_mp_br_mission_reward_gasmask,EQUIPMENT/GASMASK,MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,#hash_59d71dd6ea786155,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_gasmask_nosplash,loot_items,,EQUIPMENT/GASMASK,MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_gasmask,#hash_59d71dd6ea786155,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_token,loot_items,loot_token_icon,MP_BR_INGAME/LOOT_TOKEN,,,#hash_59d71dd6ea786155,token,token,token,token,
fire_sale,none,ui_mp_br_mission_reward_supplystation_sale,MP_BR_INGAME/FIRE_SALE,MP_BR_INGAME/LOOTCARD_SUBTITLE_PER_PLAYER,,#hash_59d71dd6ea786155,0,0,0,0,
