22218,jup_daily_br_ch_selfrevive,CHALLENGE/BR_DAILY_JUP_SELFREVIVE,CHALLENGE/BR_DAILY_JUP_SELFREVIVE_DESC,3,2500,,1,,,,,1,,,0
22209,jup_daily_br_ch_contracts,CHALLENGE/BR_DAILY_MISSION_FOCUSED,CHALLENGE/BR_DAILY_MISSION_FOCUSED_DESC,4,2500,,1,,,,,2,,,0
22135,jup_daily_br_ch_assists,CHALLENGE/DAILY_ASSISTER,CHALLENGE/DAILY_ASSISTER_DESC,10,2500,,1,,,,,3,,,0
21415,jup_daily_br_ch_kills,CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,CHALLENGE/BR_DAILY_BONUS_ANY_KILLS_DESC,5,2500,,1,,,,,4,,,0
21422,jup_daily_br_ch_loot_cache,CHALLENGE/BR_DAILY_LOOT_CACHES,CHALLENGE/BR_DAILY_LOOT_CACHES_DESC,10,2500,,1,,,,,5,,,0
38297,jup_daily_br_ch_use_equipment,CHALLENGE/BR_DAILY_USE_EQUIPMENT,CHALLENGE/BR_DAILY_USE_EQUIPMENT_DESC,10,2500,,1,,,,,6,,,0
38311,jup_daily_br_ch_use_killstreak,CHALLENGE/BR_DAILY_USE_KILLSTREAK,CHALLENGE/BR_DAILY_USE_KILLSTREAK_DESC,10,2500,,1,,,,,7,,,0
21416,jup_daily_br_ch_kills_ar,CHALLENGE/BR_DAILY_AR_MATCH_KILLS,CHALLENGE/BR_DAILY_AR_MATCH_KILLS_DESC,5,2500,,2,,,,,1,,,0
21417,jup_daily_br_ch_kills_br,CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE,CHALLENGE/BR_DAILY_BR_MATCH_KILLS_DESC,5,2500,,2,,,,,2,,,0
22179,jup_daily_br_ch_kills_dmr,CHALLENGE/BR_DAILY_DMR_MATCH_KILLS,CHALLENGE/BR_DAILY_DMR_MATCH_KILLS_DESC,5,2500,,2,,,,,3,,,0
22143,jup_daily_br_ch_kills_lmg,CHALLENGE/BR_DAILY_LMG_MATCH_KILLS,CHALLENGE/BR_DAILY_LMG_MATCH_KILLS_DESC,5,2500,,2,,,,,4,,,0
22215,jup_daily_br_ch_kills_shg,CHALLENGE/BR_DAILY_SHOTGUN_MATCH_KILLS,CHALLENGE/BR_DAILY_SHOTGUN_MATCH_KILLS_DESC,5,2500,,2,,,,,5,,,0
21418,jup_daily_br_ch_kills_smg,CHALLENGE/BR_DAILY_SMG_MATCH_KILLS,CHALLENGE/BR_DAILY_SMG_MATCH_KILLS_DESC,5,2500,,2,,,,,6,,,0
21419,jup_daily_br_ch_kills_sniper,CHALLENGE/BR_DAILY_SNIPER_MATCH_KILLS,CHALLENGE/BR_DAILY_SNIPER_MATCH_KILLS_DESC,5,2500,,2,,,,,7,,,0
38318,jup_daily_br_ch_intel,CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_INTEL,CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_INTEL_DESC,3,2500,,3,,,,,1,,,0
22180,jup_daily_br_ch_placement,JUP_CHALLENGE/JUP_BR_DAILY_BEST_OF_THE_BEST,JUP_CHALLENGE/JUP_BR_DAILY_BEST_OF_THE_BEST_DESC,1,2500,,3,,,,,2,,,0
22208,jup_daily_br_ch_caregiver,CHALLENGE/BR_DAILY_CAREGIVER,CHALLENGE/BR_DAILY_CAREGIVER_DESC,3,2500,,3,,,,,3,,,0
22211,jup_daily_br_ch_philanthropist,CHALLENGE/BR_DAILY_PHILANTHROPIST,CHALLENGE/BR_DAILY_PHILANTHROPIST_DESC,3,2500,,3,,,,,4,,,0
22212,jup_daily_br_ch_kills_lethals,CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL,CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL_DESC,2,2500,,3,,,,,5,,,0
29788,jup_daily_br_ch_kills_urzikstan,JUP_CHALLENGE/JUP_BR_DAILY_KILL_URZIKSTAN,JUP_CHALLENGE/JUP_BR_DAILY_KILL_URZIKSTAN_DESC,5,2500,,3,,,,,6,,2,0
29835,jup_daily_br_ch_kills_escape5,JUP_CHALLENGE/JUP_BR_DAILY_KILL_ESCAPE5,JUP_CHALLENGE/JUP_BR_DAILY_KILL_ESCAPE5_DESC,5,2500,,3,,,,,7,,3,0
38313,jup_daily_br_ch_assassination,CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_ASSASSINATION,CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_ASSASSINATION_DESC,3,2500,,3,,,,,8,,,0
38320,jup_daily_br_ch_scavenger,CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_SCAVENGER,CHALLENGE/BR_DAILY_COMPLETE_CONTRACT_SCAVENGER_DESC,3,2500,,3,,,,,9,,,0
48391,jup_daily_br_ch_kills_fortunes_keep_1,JUP_CHALLENGE/JUP_BR_DAILY_KILL_FORTUNES_KEEP,JUP_CHALLENGE/JUP_BR_DAILY_KILL_FORTUNES_KEEP_DESC,2,2500,,3,,,,,10,,6,0
21715,jup_daily_br_ch_bonus,JUP_CHALLENGE/BR_DAILY_BONUS_TIMEBASED,JUP_CHALLENGE/BR_DAILY_BONUS_TIMEBASED_DESC,1,,,4,,,,,1,,,0
