0,atrium,MP_LUXURY/CALLOUT_ATRIUM,area,
1,kitchen,MP_LUXURY/CALLOUT_KITCHEN,area,
2,storage,MP_LUXURY/CALLOUT_STORAGE,area,
3,restaurant,MP_LUXURY/CALLOUT_RESTAURANT,area,
4,check_in,MP_LUXURY/CALLOUT_CHECK_IN,area,
5,patio,MP_LUXURY/CALLOUT_PATIO,area,
6,parking,MP_LUXURY/CALLOUT_PARKING,area,
7,valet,MP_LUXURY/CALLOUT_VALET,area,
8,rooftop,MP_LUXURY/CALLOUT_ROOFTOP,area,
9,penthouse,MP_LUXURY/CALLOUT_PENTHOUSE,area,
10,burning_car,MP_LUXURY/CALLOUT_BURNING_CAR,area,
11,spa_entrance,MP_LUXURY/CALLOUT_SPA_ENTRANCE,area,
12,bar,MP_LUXURY/CALLOUT_BAR,area,
14,valet_reception,MP_LUXURY/CALLOUT_VALET_RECEPTION,area,
15,lobby,MP_LUXURY/CALLOUT_LOBBY,area,
16,spa,MP_LUXURY/CALLOUT_SPA,area,
18,chandelier,MP_LUXURY/CALLOUT_CHANDELIER,area,
19,store,MP_LUXURY/CALLOUT_STORE,area,
20,main_entrance,MP_LUXURY/CALLOUT_MAIN_ENTRANCE,area,
21,underpass,MP_LUXURY/CALLOUT_UNDERPASS,area,
